395873.2532997971,398615.8736830737
395875.1975769093,398616.3391507890
395876.1696652754,398616.5718348799
395877.1417540705,398616.8046189278
395879.0859312361,398617.2700870456
395880.0580196075,398617.5027711191
395881.0301084112,398617.7355551489
395882.0021967805,398617.9682392161
395882.9741852012,398618.2009237114
395883.9463735257,398618.4336073451
395884.9184619056,398618.6662913912
395885.8905498498,398618.8988754894
395886.8627381839,398619.1315590991
395887.8347261759,398619.3641436202
395888.8069140809,398619.5967272693
395889.7791019858,398619.8293109105
395890.7511895064,398620.0617950293
395891.7233769849,398620.2942787054
395892.6954640758,398620.5266628562
395893.6676515550,398620.7591465276
395894.6398386045,398620.9915302353
395895.6120252252,398621.2238139811
395896.5842122755,398621.4561976803
395897.5562989445,398621.6884818533
395898.5285855213,398621.9207651530
395899.5007721472,398622.1530488835
395900.4729583426,398622.3852326534
395901.4451449694,398622.6175163737
395902.4173315945,398622.8498000985
395903.3895186565,398623.0821837703
395904.3617057176,398623.3145674406
395905.3338932098,398623.5470510639
395906.3059807483,398623.7795351175
395907.2779696255,398624.0123194761
395908.2501592757,398624.2453028811
395909.2221490177,398624.4782871485
395910.1941396222,398624.7114713276
395911.1660315640,398624.9449558139
395912.1377253184,398625.1788409956
395913.1095207552,398625.4131255730
395914.0812171004,398625.6476104942
395915.0528152120,398625.8824956846
395916.0242155680,398626.1178815230
395916.9954194641,398626.3540678950
395917.9666255134,398626.5907540524
395918.9376338096,398626.8279408685
395919.9084447780,398627.0657282916
395920.8791592425,398627.3043158102
395921.8494786251,398627.5440046080
395922.8197014994,398627.7844934996
395923.7897279105,398628.0257829183
395924.7594583363,398628.2679732608
395925.7289940204,398628.5113639603
395926.6980355327,398628.7560562873
395927.6669822631,398629.0019485374
395928.6355339073,398629.2489420662
395929.6037912895,398629.4972363469
395930.5716548851,398629.7469317741
395931.5390255967,398629.9982286978
395932.5061037724,398630.2512262095
395933.4727877277,398630.5055249042
395934.4389787965,398630.7614250996
395935.4047778054,398631.0191262743
395936.3699852671,398631.2787292549
395937.3348006651,398631.5401332133
395938.2991240445,398631.8033385856
395939.2628558768,398632.0684457627
395940.2260965532,398632.3355542672
395941.1885462056,398632.6046654058
395942.1507058992,398632.8760768799
395943.1121740963,398633.1493905892
395944.0730516099,398633.4248060212
395945.0332384854,398633.7023236132
395945.9926356313,398633.9821437002
395946.9518427756,398634.2642636973
395947.9100598449,398634.5485871118
395948.8676862349,398634.8350122417
395949.8246232789,398635.1238394012
395950.7806697736,398635.4147695863
395951.7364276066,398635.7082999803
395952.6911949347,398636.0039338326
395953.6453724432,398636.3018693170
395954.5987597895,398636.6020073521
395955.5511574915,398636.9044487602
395956.5033660579,398637.2093899821
395957.4545845500,398637.5165346219
395958.4050133118,398637.8259817658
395959.3547522960,398638.1377309816
395960.3034008211,398638.4515840880
395961.2518606423,398638.7680369713
395962.1993299587,398639.0865933041
395963.1459100178,398639.4075525396
395964.0917998693,398639.7307138879
395965.0366996509,398640.0560786429
395965.9812103842,398640.3839440915
395966.9246310860,398640.7140133847
395967.8673620130,398641.0463847488
395968.8092032558,398641.3810590530
395969.7500544245,398641.7179367675
395970.6905161141,398642.0572152149
395971.6298882047,398642.3987974637
395972.5684705681,398642.7426822142
395973.5061628108,398643.0887699481
395974.4427654564,398643.4371614880
395975.3789786251,398643.7879537561
