246933.7882,435684.5997,0.0000
246934.7543,435684.8580,0.0000
246935.7206,435685.1153,0.0000
246936.6872,435685.3716,0.0000
246937.6541,435685.6269,0.0000
246938.6212,435685.8812,0.0000
246939.5885,435686.1347,0.0000
246940.5562,435686.3871,0.0000
246941.5240,435686.6385,0.0000
246942.4921,435686.8891,0.0000
246943.4604,435687.1389,0.0000
246944.4289,435687.3878,0.0000
246945.3977,435687.6358,0.0000
246946.3667,435687.8830,0.0000
246947.3358,435688.1294,0.0000
246948.3052,435688.3752,0.0000
246949.2747,435688.6201,0.0000
246950.2444,435688.8643,0.0000
246951.2143,435689.1078,0.0000
246952.1844,435689.3506,0.0000
246953.1546,435689.5929,0.0000
246954.1250,435689.8345,0.0000
246955.0955,435690.0755,0.0000
246956.0662,435690.3159,0.0000
246957.0370,435690.5558,0.0000
246958.0079,435690.7952,0.0000
246958.9790,435691.0341,0.0000
246959.9501,435691.2724,0.0000
246960.9214,435691.5103,0.0000
246961.8928,435691.7477,0.0000
246962.8643,435691.9848,0.0000
246963.8359,435692.2215,0.0000
246964.8076,435692.4577,0.0000
246965.7794,435692.6936,0.0000
246966.7513,435692.9292,0.0000
246967.7232,435693.1644,0.0000
246968.6952,435693.3994,0.0000
246969.6673,435693.6340,0.0000
246970.6394,435693.8683,0.0000
246971.6117,435694.1024,0.0000
246972.5839,435694.3362,0.0000
246973.5563,435694.5698,0.0000
246974.5287,435694.8032,0.0000
246975.5011,435695.0364,0.0000
246976.4736,435695.2694,0.0000
246977.4461,435695.5022,0.0000
246978.4186,435695.7350,0.0000
246979.3912,435695.9675,0.0000
246980.3638,435696.1999,0.0000
246981.3364,435696.4323,0.0000
246982.3091,435696.6647,0.0000
246983.2817,435696.8970,0.0000
246984.2544,435697.1292,0.0000
246985.2270,435697.3615,0.0000
246986.1997,435697.5937,0.0000
246987.1723,435697.8261,0.0000
246988.1449,435698.0586,0.0000
246989.1175,435698.2911,0.0000
246990.0901,435698.5237,0.0000
246991.0626,435698.7565,0.0000
246992.0351,435698.9896,0.0000
246993.0075,435699.2228,0.0000
246993.9799,435699.4562,0.0000
246994.9522,435699.6899,0.0000
246995.9244,435699.9238,0.0000
246996.8966,435700.1581,0.0000
246997.8687,435700.3928,0.0000
246998.8407,435700.6277,0.0000
246999.8126,435700.8630,0.0000
247000.7844,435701.0987,0.0000
247001.7561,435701.3349,0.0000
247002.7277,435701.5715,0.0000
247003.6992,435701.8086,0.0000
247004.6706,435702.0461,0.0000
247005.6419,435702.2841,0.0000
247006.6130,435702.5228,0.0000
247007.5840,435702.7620,0.0000
247008.5548,435703.0017,0.0000
247009.5255,435703.2419,0.0000
247010.4961,435703.4828,0.0000
247011.4664,435703.7245,0.0000
247012.4366,435703.9667,0.0000
247013.4067,435704.2096,0.0000
247014.3766,435704.4532,0.0000
247015.3463,435704.6975,0.0000
247016.3158,435704.9426,0.0000
247017.2851,435705.1885,0.0000
